date,forecast
2024-01-01,2382.7845
2024-01-02,2594.0843999999993
2024-01-03,2649.7155999999995
2024-01-04,2550.5681999999997
2024-01-05,2355.4549000000006
2024-01-06,2301.7329999999997
2024-01-07,2279.8968999999993
2024-01-08,2401.8376000000007
2024-01-09,2582.8708
2024-01-10,2662.9937000000004
2024-01-11,2547.4413999999997
2024-01-12,2325.7294999999995
2024-01-13,2278.2461000000003
2024-01-14,2282.856299999999
2024-01-15,2406.404600000002
2024-01-16,2597.5237999999995
2024-01-17,2649.3250000000016
2024-01-18,2527.0811999999996
2024-01-19,2304.6881999999982
2024-01-20,2309.0282999999995
2024-01-21,2278.9669000000004
2024-01-22,2402.4629000000014
2024-01-23,2576.893700000001
2024-01-24,2647.4907000000017
2024-01-25,2490.500200000001
2024-01-26,2300.1628999999975
2024-01-27,2272.518000000001
2024-01-28,2276.0893
2024-01-29,2398.8030000000017
2024-01-30,2595.6052
2024-01-31,2640.6245000000017
2024-02-01,2483.0373
2024-02-02,2296.6591999999982
2024-02-03,2264.2033
2024-02-04,2274.1134
2024-02-05,2395.193400000002
2024-02-06,2590.5725
2024-02-07,2640.572700000002
2024-02-08,2476.9191999999994
2024-02-09,2301.2881999999986
2024-02-10,2232.4257000000002
2024-02-11,2266.7245000000003
2024-02-12,2389.367500000002
2024-02-13,2589.0889
2024-02-14,2625.0605000000014
2024-02-15,2461.8275999999987
2024-02-16,2300.5410999999986
2024-02-17,2220.5316000000007
2024-02-18,2253.2531999999997
2024-02-19,2392.2484000000013
2024-02-20,2573.689
2024-02-21,2624.284900000003
2024-02-22,2462.997299999999
2024-02-23,2290.894099999998
2024-02-24,2211.2545
2024-02-25,2256.3420999999994
2024-02-26,2391.2633000000014
2024-02-27,2574.7767000000003
2024-02-28,2626.5038000000022
2024-02-29,2464.8059999999987
2024-03-01,2291.000299999998
2024-03-02,2216.4946000000004
2024-03-03,2254.9760999999994
2024-03-04,2393.409600000001
2024-03-05,2571.757
2024-03-06,2626.843100000003
2024-03-07,2463.164199999999
2024-03-08,2290.208499999998
2024-03-09,2219.9828000000007
2024-03-10,2255.1754999999994
2024-03-11,2391.6417000000015
2024-03-12,2581.5203999999994
2024-03-13,2625.3602000000024
2024-03-14,2468.938899999999
2024-03-15,2294.2938999999988
2024-03-16,2210.5221
2024-03-17,2253.5205
2024-03-18,2392.986500000001
2024-03-19,2567.591400000001
2024-03-20,2615.4103000000023
2024-03-21,2460.819799999999
2024-03-22,2295.677099999998
2024-03-23,2215.6856000000007
2024-03-24,2258.2059999999997
2024-03-25,2389.4145000000017
2024-03-26,2588.665
2024-03-27,2619.601900000002
2024-03-28,2459.9442999999983
2024-03-29,2295.4528999999984
2024-03-30,2219.239800000001
